city,title,price,area,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_room,dining_room,study_room,prayer_room,powder_room,lounge_sitting_room,url
Islamabad,Bahria Enclave 2 Bed Cube Apartment Brand New 6th Floor Sunfacing 1558 sq feet Circulation and Inner Parking Charges paid Available for Sale,17500000.0,6.9 Marla,"Bahria Town, Islamabad, Islamabad Capital",Flat,2.0,3.0,2026,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/bahria_enclave_cube_apartments_bahria_enclave_2_bed_cube_apartment_brand_new_6th_floor_sunfacing_1558_sq_feet_circulation_and_inner_parking_charges_paid_available_for_sale-53703116-21520-1.html
Islamabad,8 Marla ( 30*60 In Executive Block ) Brand New House For Sale in Faisal Hills Islamabad.,35000000.0,8 Marla,"Faisal Hills, Islamabad, Islamabad Capital",House,5.0,6.0,2026,,,,,,,,,,,https://www.zameen.com/Property/faisal_hills_faisal_hills_-_executive_block_8_marla_30_60_in_executive_block_brand_new_house_for_sale_in_faisal_hills_islamabad-54218501-16527-1.html
Islamabad,Designer 35x80 Double Storey House Front open Extraland Next to Kachnar Park,150000000.0,12.4 Marla,"I-8, Islamabad, Islamabad Capital",House,5.0,5.0,2024,3,2,35,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/i_8_i-8_3_designer_35x80_double_storey_house_front_open_extraland_next_to_kachnar_park-52859989-3443-1.html
Islamabad,Apartment Housing Foundation G11/4,17000000.0,3.3 Marla,"G-11, Islamabad, Islamabad Capital",Flat,4.0,3.0,2026,,,,,,,,,,,https://www.zameen.com/Property/g_11_g-11_4_apartment_housing_foundation_g11_4-54124241-3333-1.html
Islamabad,Prime Location Furnish House Is Available For Sale,63000000.0,10 Marla,"Bahria Town, Islamabad, Islamabad Capital",House,5.0,6.0,2026,Yes,1,1,2,Yes,Yes,,,,Yes,https://www.zameen.com/Property/bahria_town_bahria_enclave_prime_location_furnish_house_is_available_for_sale-54102802-1705-1.html
Islamabad,Bahria Cube Apartment,14200000.0,4.9 Marla,"Bahria Town, Islamabad, Islamabad Capital",Flat,1.0,2.0,2026,,,,,,,,,,,https://www.zameen.com/Property/bahria_town_bahria_enclave_bahria_cube_apartment-52490446-1705-1.html
Islamabad,European Design 1 Kanal Brand New Designer House Ready For Sale In DHA DEFENCE PHASE 2 Islamabad,98000000.0,1 Kanal,"DHA Defence, Islamabad, Islamabad Capital",House,5.0,6.0,2026,3,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_european_design_1_kanal_brand_new_designer_house_ready_for_sale_in_dha_defence_phase_2_islamabad-54246392-339-1.html
Islamabad,2 Bedroom Corner Apartment Available For Sale In D17 Islamabad Pine Height,13500000.0,4.8 Marla,"D-17, Islamabad, Islamabad Capital",Flat,2.0,2.0,2026,Yes,1,,2,Yes,Yes,,,,Yes,https://www.zameen.com/Property/margalla_view_housing_society_margalla_view_society_-_block_c_2_bedroom_corner_apartment_available_for_sale_in_d17_islamabad_pine_height-53544326-3163-1.html
Islamabad,1 Bedroom Flat Available For Sale In D17 Islamabad,5300000.0,3.1 Marla,"D-17, Islamabad, Islamabad Capital",Flat,1.0,1.0,2026,Yes,,,,,,,,,,https://www.zameen.com/Property/d_17_margalla_view_housing_society_1_bedroom_flat_available_for_sale_in_d17_islamabad-53571147-3160-1.html
Islamabad,Beautiful Brand New House Is Up For Sale In Faisal Hills,28000000.0,8 Marla,"Faisal Hills, Islamabad, Islamabad Capital",House,5.0,5.0,2025,2,1,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_faisal_hills_beautiful_brand_new_house_is_up_for_sale_in_faisal_hills-53215664-10859-1.html
Islamabad,8 Marla ( 30*60 ) Luxury Designer House Double Storey House Available for Sale In Executive Block Faisal Hills ( FH ) Islamabad.,37500000.0,8 Marla,"Faisal Hills, Islamabad, Islamabad Capital",House,4.0,6.0,2018,2,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/faisal_hills_faisal_hills_-_executive_block_8_marla_30_60_luxury_designer_house_double_storey_house_available_for_sale_in_executive_block_faisal_hills_fh_islamabad-53435843-16527-1.html
Islamabad,5 Marla ( 25*50 In Executive Block ) Brand New House.,23000000.0,5 Marla,"Faisal Hills, Islamabad, Islamabad Capital",House,5.0,6.0,2025,,,,,,,,,,,https://www.zameen.com/Property/faisal_hills_faisal_hills_-_executive_block_5_marla_25_50_in_executive_block_brand_new_house-54014626-16527-1.html
Islamabad,5 Marla ( 25*50 In Executive Block ) Brand New House,25000000.0,5 Marla,"Faisal Hills, Islamabad, Islamabad Capital",House,5.0,6.0,2025,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/faisal_hills_faisal_hills_-_executive_block_5_marla_25_50_in_executive_block_brand_new_house-54014630-16527-1.html
Islamabad,On Excellent Location House For Sale,46000000.0,4 Marla,"D-12, Islamabad, Islamabad Capital",House,3.0,3.0,2026,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/d_12_d-12_1_on_excellent_location_house_for_sale-54016363-3154-1.html
Islamabad,50X90 Prime Location Old House Is Available For Sale,295000000.0,1 Kanal,"F-7, Islamabad, Islamabad Capital",House,4.0,5.0,2026,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_f-7_50x90_prime_location_old_house_is_available_for_sale-54000891-165-1.html
Islamabad,Offer Offer! 6 Months Time Modern Brand-New House Is For SALE,580000000.0,1.3 Kanal,"F-7, Islamabad, Islamabad Capital",House,6.0,7.0,2026,3,2,Yes,3,Yes,Yes,Yes,,,Yes,https://www.zameen.com/Property/islamabad_f-7_offer_offer_6_months_time_modern_brand-new_house_is_for_sale-53604121-165-1.html
Islamabad,Elegant House Is For Sale In F-6,385000000.0,17.8 Marla,"F-6, Islamabad, Islamabad Capital",House,7.0,7.0,2025,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_f-6_elegant_house_is_for_sale_in_f-6-53318282-164-1.html
Islamabad,THE MOST ELEGANT DESIGNER 4080 HOUSE OF G13 WITH SOLAR ON 70ft ROAD,129900000.0,14.2 Marla,"G-13, Islamabad, Islamabad Capital",House,7.0,7.0,2024,,,,,,,,,,,https://www.zameen.com/Property/g_13_g-13_1_the_most_elegant_designer_4080_house_of_g13_with_solar_on_70ft_road-53949517-3337-1.html
Islamabad,"1 Kanal Luxury House For Sale In DHA Phase 2, Islamabad",140000000.0,1 Kanal,"DHA Defence, Islamabad, Islamabad Capital",House,5.0,6.0,2019,Yes,2,1,3,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_luxury_house_for_sale_in_dha_phase_2_islamabad-53583485-339-1.html
Islamabad,Brand New 1 Kanal Luxurious House For Sale,95000000.0,1 Kanal,"DHA Defence, Islamabad, Islamabad Capital",House,5.0,7.0,2025,3,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_1_kanal_luxurious_house_for_sale-52964109-339-1.html
Islamabad,2.5 Kanal Luxury Designer House for Sale | Prime Location | 15 KVA Solar | Near Park & Mosque,160000000.0,2.5 Kanal,"DHA Defence, Islamabad, Islamabad Capital",House,4.0,5.0,2025,4,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_c_2_5_kanal_luxury_designer_house_for_sale_prime_location_15_kva_solar_near_park_mosque-54042967-8402-1.html
Islamabad,"1 Kanal Practical House for Sale in DHA Phase 2, Islamabad",109000000.0,1 Kanal,"DHA Defence, Islamabad, Islamabad Capital",House,6.0,6.0,2025,3,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_practical_house_for_sale_in_dha_phase_2_islamabad-54221363-339-1.html
Islamabad,A Spacious 2100 Square Feet House In Margalla View Housing Society,38500000.0,9.3 Marla,"D-17, Islamabad, Islamabad Capital",House,4.0,5.0,2025,,,,,,,,,,,https://www.zameen.com/Property/d_17_margalla_view_housing_society_a_spacious_2100_square_feet_house_in_margalla_view_housing_society-54248090-3160-1.html
Islamabad,House Is Available For Sale,29500000.0,5 Marla,"Faisal Town - F-18, Islamabad, Islamabad Capital",House,4.0,4.0,2025,,,,,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_c_house_is_available_for_sale-54248134-16418-1.html
Islamabad,Sector C2 10 Marla Brand New House Excellent Construction Quality Heighted Location Front Open House Available for Sale,55000000.0,10 Marla,"Bahria Town, Islamabad, Islamabad Capital",House,5.0,7.0,2026,2,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c2_sector_c2_10_marla_brand_new_house_excellent_construction_quality_heighted_location_front_open_house_available_for_sale-53731381-11988-1.html
Islamabad,Hanzala Real Estate And Builders Bahria Enclave Islamabad,130000000.0,1 Kanal,"Bahria Town, Islamabad, Islamabad Capital",House,8.0,6.0,2025,4,1,,2,Yes,Yes,Yes,,Yes,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c_hanzala_real_estate_and_builders_bahria_enclave_islamabad-52965263-11973-1.html
Islamabad,10 Marla House Vip Construction,58000000.0,10 Marla,"Bahria Town, Islamabad, Islamabad Capital",House,4.0,5.0,2026,,1,1,1,Yes,Yes,,,Yes,Yes,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_a_10_marla_house_vip_construction-53500267-11970-1.html
Islamabad,Luxury 6 Bed 6 Bath House Available,87500000.0,10 Marla,"G-13, Islamabad, Islamabad Capital",House,6.0,6.0,2025,,,,,6,6,6,,,,https://www.zameen.com/Property/islamabad_g-13_luxury_6_bed_6_bath_house_available-54250333-330-1.html
Islamabad,On Excellent Location House For Sale,95000000.0,7 Marla,"D-12, Islamabad, Islamabad Capital",House,4.0,5.0,2025,1,1,,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/d_12_d-12_4_on_excellent_location_house_for_sale-54050965-3157-1.html
Islamabad,2 Bed Apartment for Sale Corner | Main Avenue | Near Main Gate Bahria Enclave Islamabad,12800000.0,6.4 Marla,"Bahria Town, Islamabad, Islamabad Capital",Flat,2.0,2.0,2026,Yes,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c_2_bed_apartment_for_sale_corner_main_avenue_near_main_gate_bahria_enclave_islamabad-54007900-11973-1.html
Islamabad,60x90 Double Storey Livable House In I-8/3,230000000.0,1.2 Kanal,"I-8, Islamabad, Islamabad Capital",House,6.0,6.0,2005,4,2,60,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/i_8_i-8_3_60x90_double_storey_livable_house_in_i-8_3-51259530-3443-1.html
Islamabad,60x90 Double Storey Solid Livable House in I-8/4,210000000.0,1.2 Kanal,"I-8, Islamabad, Islamabad Capital",House,7.0,6.0,2005,6,2,60,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/i_8_i-8_4_60x90_double_storey_solid_livable_house_in_i-8_4-51709542-3444-1.html
Islamabad,Park Corner Solid Triple Storey 60x90 House For Sale In I-8,200000000.0,1.2 Kanal,"I-8, Islamabad, Islamabad Capital",House,8.0,7.0,2005,7,2,60,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_i-8_park_corner_solid_triple_storey_60x90_house_for_sale_in_i-8-52811714-174-1.html
Islamabad,Park Facing 60x90 Double Story House in I-8/3,210000000.0,1.2 Kanal,"I-8, Islamabad, Islamabad Capital",House,6.0,6.0,2000,3,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/i_8_i-8_3_park_facing_60x90_double_story_house_in_i-8_3-50508130-3443-1.html
Islamabad,Luxurious 7-Bedroom House For Sale On Prime Location,450000000.0,2.5 Kanal,"F-7, Islamabad, Islamabad Capital",House,7.0,6.0,2023,4,2,1,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_f-7_luxurious_7-bedroom_house_for_sale_on_prime_location-49610450-165-1.html
Islamabad,Luxurious 6 Bedroom House For Sale In Prime Location,460000000.0,2 Kanal,"F-7, Islamabad, Islamabad Capital",House,6.0,6.0,2026,4,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_f-7_luxurious_6_bedroom_house_for_sale_in_prime_location-49981663-165-1.html
Islamabad,Brand New House Available For Sale In F7,480000000.0,1.3 Kanal,"F-7, Islamabad, Islamabad Capital",House,6.0,6.0,2025,5,2,2,3,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_f-7_brand_new_house_available_for_sale_in_f7-52498240-165-1.html
Islamabad,Investor Price House Available For Sale F7,800000000.0,4 Kanal,"F-7, Islamabad, Islamabad Capital",House,10.0,4.0,2000,2025,4,,4,4,4,,,,,https://www.zameen.com/Property/f_7_f-7_3_investor_price_house_available_for_sale_f7-52573056-3309-1.html
Islamabad,Brand New House Available For Sale,400000000.0,1 Kanal,"F-8, Islamabad, Islamabad Capital",House,9.0,,2025,5,2,8,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_f-8_brand_new_house_available_for_sale-53153128-166-1.html
Islamabad,Luxury Furnished Corner Villa For Sale In Faisal Hills Canary Villas,25000000.0,5 Marla,"Faisal Hills, Islamabad, Islamabad Capital",House,4.0,4.0,2026,Yes,1,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/faisal_hills_canary_residency_luxury_furnished_corner_villa_for_sale_in_faisal_hills_canary_villas-54242135-18223-1.html
Islamabad,Canary Villas Non Corner 5 Marla Luxury Villa in Faisal Hills,21000000.0,5 Marla,"Faisal Hills, Islamabad, Islamabad Capital",House,4.0,4.0,2026,Yes,Yes,Yes,1,Yes,Yes,Yes,Yes,,,https://www.zameen.com/Property/faisal_hills_canary_residency_canary_villas_non_corner_5_marla_luxury_villa_in_faisal_hills-54242134-18223-1.html
Islamabad,Luxury Triple Story House 40x80 for Sale in G-11/2 Islamabad,135000000.0,14.2 Marla,"G-11, Islamabad, Islamabad Capital",House,9.0,7.0,2016,5,1,1,3,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_g-11_luxury_triple_story_house_40x80_for_sale_in_g-11_2_islamabad-54249820-168-1.html
Islamabad,Double Storey 8 Marla House Available In B-17 For sale,31000000.0,8 Marla,"B-17, Islamabad, Islamabad Capital",House,4.0,6.0,2026,2,,8,4,4,,,,,,https://www.zameen.com/Property/islamabad_b-17_double_storey_8_marla_house_available_in_b-17_for_sale-54183264-616-1.html
Islamabad,"30 Marla Extra Land + Corner 10 Marla Triple Story House @10 Cr Block B, Sector B17 Islamabad.",100000000.0,2 Kanal,"B-17, Islamabad, Islamabad Capital",House,6.0,6.0,2026,2026,6,,6,6,6,6,6,,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_b_30_marla_extra_land_corner_10_marla_triple_story_house_10_cr_block_b_sector_b17_islamabad-53990439-3117-1.html
Islamabad,5 M Brand New House Available For Sale Naval Anchorage Islamabad Block G,26000000.0,5 Marla,"Naval Anchorage, Islamabad, Islamabad Capital",House,4.0,5.0,2025,1,2,,2,Yes,Yes,,Yes,,Yes,https://www.zameen.com/Property/naval_anchorage_naval_anchorage_-_block_g_5_m_brand_new_house_available_for_sale_naval_anchorage_islamabad_block_g-53848482-9158-1.html
Islamabad,1 Kanal House For Sale In Dha Phase 2,80000000.0,1 Kanal,"DHA Defence, Islamabad, Islamabad Capital",House,6.0,6.0,2025,3,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_house_for_sale_in_dha_phase_2-53866271-339-1.html
Islamabad,6 MARLA BRAND NEW DOUBLE UNIT HOUSE | CLASSICAL DESIGN | 0KM TO ISB EXPRESSWAY,30000000.0,6 Marla,"Soan Garden, Islamabad, Islamabad Capital",House,5.0,6.0,2025,3,1,2,2,Yes,Yes,Yes,,Yes,Yes,https://www.zameen.com/Property/soan_garden_soan_garden_-_block_h_6_marla_brand_new_double_unit_house_classical_design_0km_to_isb_expressway-53944439-3498-1.html
Islamabad,6 MARLA MODERN DESIGNER HOUSE FOR SALE | DOUBLE UNIT BRAND NEW | CORNER CATEGORY,32500000.0,6 Marla,"Soan Garden, Islamabad, Islamabad Capital",House,4.0,5.0,2025,,1,2,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_soan_garden_6_marla_modern_designer_house_for_sale_double_unit_brand_new_corner_category-53525020-338-1.html
Islamabad,1 KANAL BRAND NEW DOUBLE UNIT HOUSE FOR SALE | 40ft WIDE ROAD | NEAR TO HIGHWAY,60000000.0,1 Kanal,"Soan Garden, Islamabad, Islamabad Capital",House,7.0,7.0,2025,2025,1,3,3,Yes,Yes,Yes,,Yes,Yes,https://www.zameen.com/Property/islamabad_soan_garden_1_kanal_brand_new_double_unit_house_for_sale_40ft_wide_road_near_to_highway-53438428-338-1.html
Islamabad,Park Facing Double Storey old House For Sale In I-8/4,175000000.0,1.2 Kanal,"I-8, Islamabad, Islamabad Capital",House,9.0,6.0,2005,7,2,8,3,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/i_8_i-8_4_park_facing_double_storey_old_house_for_sale_in_i-8_4-50531108-3444-1.html
Islamabad,40x80 Double Storey Livable House For Sale in I-8/2,109500000.0,14.2 Marla,"I-8, Islamabad, Islamabad Capital",House,6.0,6.0,2005,3,1,40,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/i_8_i-8_2_40x80_double_storey_livable_house_for_sale_in_i-8_2-51259016-3442-1.html
Islamabad,Investor & Family Choice Ready Full House in Gulberg Residencia Islamabad,47500000.0,10 Marla,"Gulberg, Islamabad, Islamabad Capital",House,7.0,7.0,2022,Yes,1,2,2,Yes,Yes,Yes,,Yes,Yes,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_v_investor_family_choice_ready_full_house_in_gulberg_residencia_islamabad-54180729-9131-1.html
Islamabad,Hot Commercial 2-Bed Apartment for Sale Prime Location | Bahria Enclave Islamabad,13000000.0,6.4 Marla,"Bahria Town, Islamabad, Islamabad Capital",Flat,2.0,2.0,2026,,,,,,,,,,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c_hot_commercial_2-bed_apartment_for_sale_prime_location_bahria_enclave_islamabad-53741311-11973-1.html
Islamabad,2 Bed Apartment For Sale Bahria Enclave,12800000.0,6.4 Marla,"Bahria Town, Islamabad, Islamabad Capital",Flat,2.0,2.0,2020,,,,2,2,2,,,,,https://www.zameen.com/Property/bahria_town_bahria_enclave_2_bed_apartment_for_sale_bahria_enclave-53771025-1705-1.html
Islamabad,Apartment Zara Heights H13 Main Kashmir Highway,11000000.0,4 Marla,"H-13, Islamabad, Islamabad Capital",Flat,2.0,2.0,2000,Yes,,3,3,3,3,3,3,,,https://www.zameen.com/Property/islamabad_h-13_apartment_zara_heights_h13_main_kashmir_highway-54120738-1039-1.html
Islamabad,Three Bedroom Half Terrace 1750 Sq Ft Available For Sale At Silver Oaks Apartments F-10 Islamabad,65000000.0,7.8 Marla,"F-10, Islamabad, Islamabad Capital",Flat,3.0,3.0,2012,1,2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/f_10_silver_oaks_apartments_three_bedroom_half_terrace_1750_sq_ft_available_for_sale_at_silver_oaks_apartments_f-10_islamabad-54123756-11308-1.html
Islamabad,8 Marla Extra Land + Double Height 10 Marla House @6.50 Cr - E Block Sector B17 Islamabad.,65000000.0,10 Marla,"B-17, Islamabad, Islamabad Capital",House,6.0,6.0,2026,Yes,12,1,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_b-17_8_marla_extra_land_double_height_10_marla_house_6_50_cr_-_e_block_sector_b17_islamabad-53957667-616-1.html
Islamabad,Demolishable House Available For Sale,220000000.0,1 Kanal,"F-8, Islamabad, Islamabad Capital",House,5.0,5.0,2024,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_f-8_demolishable_house_available_for_sale-50149107-166-1.html
Islamabad,Magnificent 10-Bed Residence In Prime F-8 Location - CDA Transfer,300000000.0,2 Kanal,"F-8, Islamabad, Islamabad Capital",House,10.0,,2024,5,2,1,3,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_f-8_magnificent_10-bed_residence_in_prime_f-8_location_-_cda_transfer-49706464-166-1.html
Islamabad,House For Sale With Extra Land,260000000.0,1.3 Kanal,"F-8, Islamabad, Islamabad Capital",House,6.0,6.0,2023,Yes,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_f-8_house_for_sale_with_extra_land-49330955-166-1.html
Islamabad,"Luxurious Mansion For Sale In F-8 Sector - Prime Location, Exclusive Features",650000000.0,4 Kanal,"F-8, Islamabad, Islamabad Capital",House,8.0,6.0,2016,Yes,1,2,2,Yes,Yes,,,Yes,Yes,https://www.zameen.com/Property/islamabad_f-8_luxurious_mansion_for_sale_in_f-8_sector_-_prime_location_exclusive_features-49610246-166-1.html
Islamabad,I. 10/2 New house 25x60 for sale Real pics attached,52500000.0,6 Marla,"I-10, Islamabad, Islamabad Capital",House,4.0,4.0,2020,2,,,,,,,,,,https://www.zameen.com/Property/i_10_i-10_2_i_10_2_new_house_25x60_for_sale_real_pics_attached-54201625-3421-1.html
Islamabad,Corner House 25x60 In I-14/1 Near From Park And Main Road,32000000.0,6 Marla,"I-14, Islamabad, Islamabad Capital",House,5.0,6.0,2023,2023,,,,,,,,,,https://www.zameen.com/Property/i_14_i-14_1_corner_house_25x60_in_i-14_1_near_from_park_and_main_road-54249739-8340-1.html
Islamabad,5 Marla house for sale,26200000.0,5 Marla,"Bahria Town, Islamabad, Islamabad Capital",House,3.0,4.0,2026,2026,1,,2,Yes,Yes,,Yes,Yes,,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_i_5_marla_house_for_sale-54249660-11982-1.html
Islamabad,10 Marla Brand New Double Storey House Available For Sale,36000000.0,10 Marla,"D-17, Islamabad, Islamabad Capital",House,5.0,7.0,2025,2025,,10,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/islamabad_d-17_10_marla_brand_new_double_storey_house_available_for_sale-54186482-737-1.html
Islamabad,One Kanal Brand New House With Full Basement,110000000.0,1 Kanal,"Top City 1, Islamabad, Islamabad Capital",House,10.0,6.0,2026,3,1,2,3,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_one_kanal_brand_new_house_with_full_basement-54128610-9230-1.html
Islamabad,1800 Square Feet House Is Available For sale,42000000.0,8 Marla,"Faisal Town - F-18, Islamabad, Islamabad Capital",House,5.0,5.0,2026,,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_a_1800_square_feet_house_is_available_for_sale-54174504-16416-1.html
